,0
ScoreA without memory,1.189459228515625
ScoreB without memory,1.0568629342682507
ScoreC without memory,3.1288596785798366
ScoreA with selective memory,1.3176835624539123
ScoreB with selective memory,1.4285671876401318
ScoreC with selective memory,3.324547714116622
ScoreA with full memory,1.5620499318959762
ScoreB with full memory,1.2312113878678301
ScoreC with full memory,2.824909631573424
